,train,val,test
0,normal_001,normal_035,normal_156
1,normal_003,normal_147,normal_159
2,normal_004,normal_148,normal_070
3,normal_005,normal_081,normal_043
4,normal_007,normal_135,normal_013
5,normal_008,normal_017,normal_124
6,normal_009,normal_139,normal_130
7,normal_010,normal_006,normal_097
8,normal_011,normal_137,normal_118
9,normal_014,normal_155,normal_046
10,normal_018,normal_119,normal_152
11,normal_019,normal_073,normal_015
12,normal_020,normal_031,normal_141
13,normal_021,normal_029,normal_069
14,normal_022,normal_075,normal_107
15,normal_023,normal_016,normal_057
16,normal_024,normal_132,normal_112
17,normal_025,normal_099,normal_071
18,normal_026,normal_125,normal_034
19,normal_027,normal_084,normal_145
20,normal_028,normal_105,normal_036
21,normal_030,normal_041,normal_111
22,normal_032,normal_067,normal_108
23,normal_033,normal_093,normal_061
24,normal_037,normal_051,normal_074
25,normal_038,normal_002,normal_012
26,normal_039,normal_060,normal_104
27,normal_040,normal_092,normal_113
28,normal_044,normal_042,normal_129
29,normal_045,normal_089,normal_068
30,normal_047,normal_064,normal_149
31,normal_048,tumor_109,tumor_045
32,normal_049,tumor_085,tumor_033
33,normal_050,tumor_081,tumor_035
34,normal_052,tumor_002,tumor_087
35,normal_053,tumor_044,tumor_036
36,normal_054,tumor_026,tumor_034
37,normal_055,tumor_059,tumor_054
38,normal_056,tumor_110,tumor_080
39,normal_058,tumor_014,tumor_098
40,normal_059,tumor_073,tumor_060
41,normal_062,tumor_003,tumor_008
42,normal_063,tumor_091,tumor_049
43,normal_065,tumor_072,tumor_012
44,normal_066,tumor_083,tumor_094
45,normal_072,tumor_076,tumor_056
46,normal_076,tumor_004,tumor_031
47,normal_077,tumor_053,tumor_063
48,normal_078,tumor_058,tumor_050
49,normal_079,tumor_021,tumor_101
50,normal_080,,
51,normal_082,,
52,normal_083,,
53,normal_085,,
54,normal_087,,
55,normal_088,,
56,normal_090,,
57,normal_091,,
58,normal_094,,
59,normal_095,,
60,normal_096,,
61,normal_098,,
62,normal_100,,
63,normal_101,,
64,normal_102,,
65,normal_103,,
66,normal_106,,
67,normal_109,,
68,normal_110,,
69,normal_114,,
70,normal_115,,
71,normal_116,,
72,normal_117,,
73,normal_120,,
74,normal_121,,
75,normal_122,,
76,normal_123,,
77,normal_126,,
78,normal_127,,
79,normal_128,,
80,normal_131,,
81,normal_133,,
82,normal_134,,
83,normal_136,,
84,normal_138,,
85,normal_140,,
86,normal_142,,
87,normal_143,,
88,normal_144,,
89,normal_146,,
90,normal_150,,
91,normal_151,,
92,normal_153,,
93,normal_154,,
94,normal_157,,
95,normal_158,,
96,normal_160,,
97,tumor_001,,
98,tumor_005,,
99,tumor_006,,
100,tumor_007,,
101,tumor_009,,
102,tumor_010,,
103,tumor_011,,
104,tumor_013,,
105,tumor_015,,
106,tumor_016,,
107,tumor_017,,
108,tumor_018,,
109,tumor_019,,
110,tumor_020,,
111,tumor_022,,
112,tumor_023,,
113,tumor_024,,
114,tumor_025,,
115,tumor_027,,
116,tumor_028,,
117,tumor_029,,
118,tumor_030,,
119,tumor_032,,
120,tumor_037,,
121,tumor_038,,
122,tumor_039,,
123,tumor_040,,
124,tumor_041,,
125,tumor_042,,
126,tumor_043,,
127,tumor_046,,
128,tumor_047,,
129,tumor_048,,
130,tumor_051,,
131,tumor_052,,
132,tumor_055,,
133,tumor_057,,
134,tumor_061,,
135,tumor_062,,
136,tumor_064,,
137,tumor_065,,
138,tumor_066,,
139,tumor_067,,
140,tumor_068,,
141,tumor_069,,
142,tumor_070,,
143,tumor_071,,
144,tumor_074,,
145,tumor_075,,
146,tumor_077,,
147,tumor_078,,
148,tumor_079,,
149,tumor_082,,
150,tumor_084,,
151,tumor_086,,
152,tumor_088,,
153,tumor_089,,
154,tumor_090,,
155,tumor_092,,
156,tumor_093,,
157,tumor_095,,
158,tumor_096,,
159,tumor_097,,
160,tumor_099,,
161,tumor_100,,
162,tumor_102,,
163,tumor_103,,
164,tumor_104,,
165,tumor_105,,
166,tumor_106,,
167,tumor_107,,
168,tumor_108,,
169,tumor_111,,
