,train,val,test
0,TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c,TCGA-KN-8435-01Z-00-DX1.99219621-93BA-448B-8AFE-AEECA888BDA4,TCGA-KN-8422-01A-01-TS1.970b2275-a5b8-48f9-8963-18aa09009532
1,TCGA-KL-8323-01A-01-BS1.1cb2c073-2b42-4ac5-8dae-1fff5a015260,TCGA-KN-8435-11A-01-TS1.76d6ad11-77cd-445c-a264-d4f1c5cc7f58,TCGA-KN-8422-01Z-00-DX1.26F9BF86-6D2C-4C99-BFEB-A3708AD48734
2,TCGA-KL-8323-11A-01-TS1.03244a58-76a3-4550-8065-2a7e765f93e6,TCGA-KN-8435-01A-01-TS1.25daa3b3-70dc-4e9c-a5db-a99c46da4454,TCGA-KN-8422-11A-01-TS1.6145f2f1-127f-45b6-a211-4b207797ad9a
3,TCGA-KL-8325-01A-01-TS1.a899a903-f702-4de7-bc9a-ef58aa58bdb4,TCGA-KN-8435-01A-01-BS1.21bd08b9-a564-4542-a32d-35f3047279e5,TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2
4,TCGA-KL-8325-01A-01-BS1.bff0bad0-1538-4fc7-80f8-a3f03980e1e5,TCGA-KL-8346-11A-01-TS1.5df52a15-b410-4cb9-8fca-a21d2b119ee8,TCGA-KM-8476-01A-01-TS1.dc9e9796-6901-4593-9a38-fec235bf3693
5,TCGA-KL-8325-01Z-00-DX1.330bdb6c-86ee-4577-9846-298080b4c2ad,TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e,TCGA-KO-8417-11A-01-TS1.7a591100-bb9a-4135-9fd0-80cdb441e5cf
6,TCGA-KL-8325-11A-01-TS1.812ee4d6-ce7e-4cdc-9ce9-5de331ccd823,TCGA-KL-8346-01A-01-TS1.718265b1-3ada-4ca3-a196-12851fcc0485,TCGA-KO-8417-01A-01-TS1.6825d284-3d7e-4fbe-9467-add13ba0172d
7,TCGA-KL-8326-01A-01-TS1.56c60cff-8664-44c4-ab20-e3937966fd0a,TCGA-KL-8346-01A-01-BS1.c70b2798-fe06-471b-9264-73dd5fab6d18,TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D
8,TCGA-KL-8326-11A-01-TS1.d7fbb3f2-2192-4e0c-a6fc-1e49794d8b2a,TCGA-KL-8339-01A-01-TS1.43a9a240-7c8f-4671-b95a-05c1ef19df73,TCGA-KO-8417-01A-01-BS1.7d800ca1-ef1d-4d0e-a3e0-b437344083e9
9,TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b,TCGA-KL-8339-01Z-00-DX1.5826ea77-f0a1-4b47-acd7-62a6ba878dec,TCGA-KO-8405-01Z-00-DX1.DB2F9FFE-B562-4D52-A4DF-E939DE99B5F7
10,TCGA-KL-8326-01A-01-BS1.afaf1dee-3917-48c6-891d-274681744cc3,TCGA-KL-8339-01A-01-BS1.16f42cbc-2401-4708-af14-b1f0368ca7c8,TCGA-KO-8405-11A-01-TS1.255ca3a3-1579-4dfa-88c2-6dc70f2e7ac8
11,TCGA-KL-8327-11A-01-TS1.0915a1ac-e9ee-4e39-883c-72a299fcc403,TCGA-KL-8339-11A-01-TS1.c4c783b1-f66a-48da-a814-c719f519c3fb,TCGA-KO-8405-01A-01-BS1.805d9e8e-6b76-4ed4-a009-8851286fff69
12,TCGA-KL-8327-01A-01-BS1.8309bcf0-d145-4d76-8199-a0cfd5f61133,TCGA-KN-8426-01A-01-TS1.e53a4425-2aee-4706-ab5e-c800b2455fa4,TCGA-KO-8405-01A-01-TS1.2b6190c9-0d74-459d-87ea-c8ff2db7e50e
13,TCGA-KL-8327-01A-01-TS1.8cd0de1c-80ac-44f7-b197-64d82959a29c,TCGA-KN-8426-11A-01-TS1.15bd5f79-a766-4bbd-b1c9-7fc9bcae121b,TCGA-KM-8443-01Z-00-DX1.A97D876A-6453-4335-B805-C54529D3915F
14,TCGA-KL-8327-01Z-00-DX1.f3009cdc-baf7-45ba-95a6-1b6311799cc8,TCGA-KN-8426-01A-01-BS1.a607b745-2013-479b-90eb-0bb26accff2f,TCGA-KM-8443-01A-01-TS1.4dd55103-b98c-4df6-b858-c7970886afbb
15,TCGA-KL-8328-01A-01-BS1.f2e0564d-a369-4668-98f7-173417d6bff1,TCGA-KN-8426-01Z-00-DX1.FA31AC9B-A378-467E-97CB-7EFA06B804A1,TCGA-KL-8334-01A-01-BS1.d4551695-da0c-4b31-a478-34b741442b84
16,TCGA-KL-8328-11A-01-TS1.44ce645c-5613-4319-9345-d81ae2384c3a,TCGA-KN-8433-11A-01-TS1.63cea9c7-2be5-4ec3-881c-4d0cdf29fc72,TCGA-KL-8334-11A-01-TS1.61a3e199-8e61-4941-b908-8ccd0ecfba0c
17,TCGA-KL-8328-01Z-00-DX1.497ddcb5-0436-4c76-a633-4744e24e6efe,TCGA-KN-8433-01Z-00-DX1.4AE64138-3E04-46AC-B905-52CB71261230,TCGA-KL-8334-01Z-00-DX1.bc0857e2-938f-497a-ab63-38bc87e1af30
18,TCGA-KL-8328-01A-01-TS1.3bc6368d-7661-4ea3-ac47-0a02a7668b72,TCGA-KN-8433-01A-01-TS1.473c41a1-57a3-4257-8cac-2507d5785d58,TCGA-KL-8334-01A-01-TS1.c33297fb-f9fe-4c51-92b3-20c4491c0bea
