,train,val,test
0,normal_001,normal_035,normal_156
1,normal_003,normal_147,normal_159
2,normal_004,normal_148,normal_070
3,normal_005,normal_081,normal_043
4,normal_007,normal_135,normal_013
5,normal_008,normal_017,normal_124
6,normal_009,normal_139,normal_130
7,normal_010,normal_006,normal_097
8,normal_011,normal_137,normal_118
9,normal_014,normal_155,normal_046
10,normal_018,normal_119,normal_152
11,normal_019,normal_073,normal_015
12,normal_020,normal_031,normal_141
13,normal_021,normal_029,normal_069
14,normal_022,normal_075,normal_107
15,normal_023,normal_016,normal_057
16,normal_024,normal_132,normal_112
17,normal_025,normal_099,normal_071
18,normal_026,normal_125,normal_034
19,normal_027,normal_084,normal_145
20,normal_028,normal_105,normal_036
21,normal_030,normal_041,normal_111
22,normal_032,normal_067,normal_108
23,normal_033,normal_093,normal_061
24,normal_037,normal_051,normal_074
25,tumor_001,normal_002,normal_012
26,tumor_005,normal_060,normal_104
27,tumor_006,normal_092,normal_113
28,tumor_007,normal_042,normal_129
29,tumor_009,normal_089,normal_068
30,tumor_010,normal_064,normal_149
31,tumor_011,tumor_109,tumor_045
32,tumor_013,tumor_085,tumor_033
33,tumor_015,tumor_081,tumor_035
34,tumor_016,tumor_002,tumor_087
35,tumor_017,tumor_044,tumor_036
36,tumor_018,tumor_026,tumor_034
37,tumor_019,tumor_059,tumor_054
38,tumor_020,tumor_110,tumor_080
39,tumor_022,tumor_014,tumor_098
40,tumor_023,tumor_073,tumor_060
41,tumor_024,tumor_003,tumor_008
42,tumor_025,tumor_091,tumor_049
43,tumor_027,tumor_072,tumor_012
44,,tumor_083,tumor_094
45,,tumor_076,tumor_056
46,,tumor_004,tumor_031
47,,tumor_053,tumor_063
48,,tumor_058,tumor_050
49,,tumor_021,tumor_101
