,train,val,test
normal_002,True,False,False
normal_003,True,False,False
normal_004,True,False,False
normal_007,True,False,False
normal_008,True,False,False
normal_010,True,False,False
normal_011,True,False,False
normal_012,True,False,False
normal_013,True,False,False
normal_018,True,False,False
normal_019,True,False,False
normal_020,True,False,False
normal_022,True,False,False
normal_024,True,False,False
normal_025,True,False,False
normal_026,True,False,False
normal_027,True,False,False
normal_028,True,False,False
normal_029,True,False,False
normal_030,True,False,False
normal_031,True,False,False
normal_033,True,False,False
normal_034,True,False,False
normal_037,True,False,False
normal_040,True,False,False
normal_043,True,False,False
normal_044,True,False,False
normal_045,True,False,False
normal_047,True,False,False
normal_049,True,False,False
normal_051,True,False,False
normal_052,True,False,False
normal_053,True,False,False
normal_055,True,False,False
normal_057,True,False,False
normal_058,True,False,False
normal_059,True,False,False
normal_060,True,False,False
normal_061,True,False,False
normal_063,True,False,False
normal_065,True,False,False
normal_067,True,False,False
normal_068,True,False,False
normal_070,True,False,False
normal_071,True,False,False
normal_072,True,False,False
normal_073,True,False,False
normal_074,True,False,False
normal_075,True,False,False
normal_077,True,False,False
normal_078,True,False,False
normal_080,True,False,False
normal_081,True,False,False
normal_082,True,False,False
normal_084,True,False,False
normal_085,True,False,False
normal_088,True,False,False
normal_089,True,False,False
normal_090,True,False,False
normal_091,True,False,False
normal_092,True,False,False
normal_093,True,False,False
normal_094,True,False,False
normal_097,True,False,False
normal_098,True,False,False
normal_102,True,False,False
normal_104,True,False,False
normal_105,True,False,False
normal_107,True,False,False
normal_110,True,False,False
normal_111,True,False,False
normal_112,True,False,False
normal_117,True,False,False
tumor_001,True,False,False
tumor_002,True,False,False
tumor_003,True,False,False
tumor_004,True,False,False
tumor_005,True,False,False
tumor_008,True,False,False
tumor_009,True,False,False
tumor_010,True,False,False
tumor_011,True,False,False
tumor_012,True,False,False
tumor_014,True,False,False
tumor_019,True,False,False
tumor_021,True,False,False
tumor_024,True,False,False
tumor_025,True,False,False
tumor_027,True,False,False
tumor_028,True,False,False
tumor_029,True,False,False
tumor_032,True,False,False
tumor_033,True,False,False
tumor_034,True,False,False
tumor_035,True,False,False
tumor_038,True,False,False
tumor_039,True,False,False
tumor_040,True,False,False
tumor_041,True,False,False
tumor_045,True,False,False
tumor_046,True,False,False
tumor_047,True,False,False
tumor_048,True,False,False
tumor_050,True,False,False
tumor_051,True,False,False
tumor_052,True,False,False
tumor_053,True,False,False
tumor_055,True,False,False
tumor_056,True,False,False
tumor_058,True,False,False
tumor_059,True,False,False
tumor_060,True,False,False
tumor_061,True,False,False
tumor_062,True,False,False
tumor_063,True,False,False
tumor_067,True,False,False
tumor_069,True,False,False
tumor_070,True,False,False
tumor_071,True,False,False
tumor_072,True,False,False
tumor_073,True,False,False
tumor_074,True,False,False
tumor_075,True,False,False
tumor_076,True,False,False
tumor_079,True,False,False
tumor_081,True,False,False
tumor_083,True,False,False
tumor_084,True,False,False
normal_076,False,True,False
normal_136,False,True,False
normal_021,False,True,False
normal_147,False,True,False
normal_125,False,True,False
normal_132,False,True,False
normal_005,False,True,False
normal_108,False,True,False
normal_151,False,True,False
normal_099,False,True,False
normal_017,False,True,False
normal_041,False,True,False
normal_038,False,True,False
normal_115,False,True,False
normal_103,False,True,False
normal_087,False,True,False
normal_001,False,True,False
normal_129,False,True,False
normal_101,False,True,False
normal_109,False,True,False
normal_056,False,True,False
normal_123,False,True,False
normal_042,False,True,False
normal_142,False,True,False
normal_113,False,True,False
normal_048,False,True,False
normal_009,False,True,False
normal_069,False,True,False
normal_106,False,True,False
normal_079,False,True,False
normal_064,False,True,False
tumor_043,False,True,False
tumor_013,False,True,False
tumor_077,False,True,False
tumor_090,False,True,False
tumor_054,False,True,False
tumor_036,False,True,False
tumor_110,False,True,False
tumor_066,False,True,False
tumor_078,False,True,False
tumor_031,False,True,False
tumor_030,False,True,False
tumor_068,False,True,False
tumor_006,False,True,False
tumor_016,False,True,False
tumor_088,False,True,False
tumor_080,False,True,False
tumor_017,False,True,False
tumor_094,False,True,False
tumor_018,False,True,False
normal_095,False,False,True
normal_155,False,False,True
normal_114,False,False,True
normal_156,False,False,True
normal_023,False,False,True
normal_050,False,False,True
normal_054,False,False,True
normal_116,False,False,True
normal_157,False,False,True
normal_144,False,False,True
normal_036,False,False,True
normal_046,False,False,True
normal_096,False,False,True
normal_149,False,False,True
normal_014,False,False,True
normal_148,False,False,True
normal_083,False,False,True
normal_015,False,False,True
normal_039,False,False,True
normal_066,False,False,True
normal_035,False,False,True
normal_016,False,False,True
normal_133,False,False,True
normal_062,False,False,True
normal_006,False,False,True
normal_118,False,False,True
normal_143,False,False,True
normal_140,False,False,True
normal_032,False,False,True
normal_100,False,False,True
normal_159,False,False,True
tumor_042,False,False,True
tumor_007,False,False,True
tumor_057,False,False,True
tumor_103,False,False,True
tumor_015,False,False,True
tumor_020,False,False,True
tumor_082,False,False,True
tumor_037,False,False,True
tumor_109,False,False,True
tumor_105,False,False,True
tumor_022,False,False,True
tumor_049,False,False,True
tumor_092,False,False,True
tumor_023,False,False,True
tumor_044,False,False,True
tumor_064,False,False,True
tumor_026,False,False,True
tumor_065,False,False,True
tumor_101,False,False,True
