,train,val,test
0,normal_001,normal_144,normal_064
1,normal_005,normal_142,normal_154
2,normal_006,normal_124,normal_009
3,normal_007,normal_072,normal_107
4,normal_010,normal_008,normal_136
5,normal_011,normal_159,normal_096
6,normal_012,normal_049,normal_026
7,normal_013,normal_121,normal_004
8,normal_015,normal_110,normal_073
9,normal_016,normal_062,normal_034
10,normal_017,normal_157,normal_134
11,normal_019,normal_050,normal_102
12,normal_027,normal_088,normal_152
13,normal_028,normal_003,normal_068
14,normal_029,normal_148,normal_078
15,normal_030,normal_025,normal_155
16,normal_031,normal_160,normal_069
17,normal_032,normal_002,normal_118
18,normal_033,normal_147,normal_021
19,normal_035,normal_024,normal_052
20,normal_036,normal_014,normal_130
21,normal_037,normal_040,normal_046
22,normal_039,normal_137,normal_022
23,normal_042,normal_023,normal_053
24,normal_043,normal_058,normal_114
25,normal_044,normal_038,normal_020
26,normal_045,normal_018,normal_133
27,normal_047,normal_041,normal_075
28,normal_048,normal_095,normal_108
29,normal_051,normal_123,normal_083
30,normal_054,normal_071,normal_059
31,normal_055,tumor_066,tumor_087
32,normal_056,tumor_009,tumor_026
33,normal_057,tumor_017,tumor_016
34,normal_060,tumor_077,tumor_028
35,normal_061,tumor_106,tumor_090
36,normal_063,tumor_086,tumor_102
37,normal_065,tumor_084,tumor_048
38,normal_066,tumor_075,tumor_053
39,normal_067,tumor_019,tumor_027
40,normal_070,tumor_096,tumor_099
41,normal_074,tumor_036,tumor_010
42,normal_076,tumor_062,tumor_046
43,normal_077,tumor_089,tumor_065
44,normal_079,tumor_101,tumor_055
45,normal_080,tumor_107,tumor_071
46,normal_081,tumor_023,tumor_072
47,normal_082,tumor_085,tumor_002
48,normal_084,tumor_110,tumor_030
49,tumor_001,tumor_045,tumor_092
50,tumor_003,,
51,tumor_004,,
52,tumor_005,,
53,tumor_006,,
54,tumor_007,,
55,tumor_008,,
56,tumor_011,,
57,tumor_012,,
58,tumor_013,,
59,tumor_014,,
60,tumor_015,,
61,tumor_018,,
62,tumor_020,,
63,tumor_021,,
64,tumor_022,,
65,tumor_024,,
66,tumor_025,,
67,tumor_029,,
68,tumor_031,,
69,tumor_032,,
70,tumor_033,,
71,tumor_034,,
72,tumor_035,,
73,tumor_037,,
74,tumor_038,,
75,tumor_039,,
76,tumor_040,,
77,tumor_041,,
78,tumor_042,,
79,tumor_043,,
80,tumor_044,,
81,tumor_047,,
82,tumor_049,,
83,tumor_050,,
84,tumor_051,,
85,tumor_052,,
