,train,val,test
0,normal_002,normal_076,normal_095
1,normal_003,normal_136,normal_155
2,normal_004,normal_021,normal_114
3,normal_007,normal_147,normal_156
4,normal_008,normal_125,normal_023
5,normal_010,normal_132,normal_050
6,normal_011,normal_005,normal_054
7,normal_012,normal_108,normal_116
8,normal_013,normal_151,normal_157
9,normal_018,normal_099,normal_144
10,normal_019,normal_017,normal_036
11,normal_020,normal_041,normal_046
12,normal_022,normal_038,normal_096
13,normal_024,normal_115,normal_149
14,normal_025,normal_103,normal_014
15,normal_026,normal_087,normal_148
16,normal_027,normal_001,normal_083
17,normal_028,normal_129,normal_015
18,normal_029,normal_101,normal_039
19,normal_030,normal_109,normal_066
20,normal_031,normal_056,normal_035
21,normal_033,normal_123,normal_016
22,normal_034,normal_042,normal_133
23,normal_037,normal_142,normal_062
24,normal_040,normal_113,normal_006
25,normal_043,normal_048,normal_118
26,normal_044,normal_009,normal_143
27,normal_045,normal_069,normal_140
28,normal_047,normal_106,normal_032
29,normal_049,normal_079,normal_100
30,normal_051,normal_064,normal_159
31,normal_052,tumor_043,tumor_042
32,normal_053,tumor_013,tumor_007
33,normal_055,tumor_077,tumor_057
34,normal_057,tumor_090,tumor_103
35,normal_058,tumor_054,tumor_015
36,normal_059,tumor_036,tumor_020
37,normal_060,tumor_110,tumor_082
38,normal_061,tumor_066,tumor_037
39,normal_063,tumor_078,tumor_109
40,normal_065,tumor_031,tumor_105
41,normal_067,tumor_030,tumor_022
42,normal_068,tumor_068,tumor_049
43,normal_070,tumor_006,tumor_092
44,normal_071,tumor_016,tumor_023
45,normal_072,tumor_088,tumor_044
46,normal_073,tumor_080,tumor_064
47,normal_074,tumor_017,tumor_026
48,normal_075,tumor_094,tumor_065
49,tumor_001,tumor_018,tumor_101
50,tumor_002,,
51,tumor_003,,
52,tumor_004,,
53,tumor_005,,
54,tumor_008,,
55,tumor_009,,
56,tumor_010,,
57,tumor_011,,
58,tumor_012,,
59,tumor_014,,
60,tumor_019,,
61,tumor_021,,
62,tumor_024,,
63,tumor_025,,
64,tumor_027,,
65,tumor_028,,
66,tumor_029,,
67,tumor_032,,
68,tumor_033,,
69,tumor_034,,
70,tumor_035,,
71,tumor_038,,
72,tumor_039,,
73,tumor_040,,
74,tumor_041,,
75,tumor_045,,
76,tumor_046,,
77,tumor_047,,
78,tumor_048,,
79,tumor_050,,
80,tumor_051,,
81,tumor_052,,
82,tumor_053,,
83,tumor_055,,
84,tumor_056,,
85,tumor_058,,
